season_label,gameweek,web_name,initial_price,predicted_points,points_p10,points_p90,total_points,forecast_eo,realized_eo,nonowner_expected_drag,nonowner_realized_rank_points,owner_realized_rank_points,value_above_replacement_per_m,fair_price,valuation_edge
2025/26,23,Haaland,14.0,5.808173799046018,2.599823344195626,11.288469987962435,1,1.81,1.41,-10.512794576273292,-1.41,-0.4099999999999999,0.3080354545979317,15.091484466099036,0.32746953301629667
2025/26,24,Haaland,14.0,4.584007760233116,1.3756573053827243,10.064303949149533,5,1.41,1.19,-6.463450941928693,-5.949999999999999,-0.9499999999999997,0.2048032262476228,12.61217019051784,-0.33425880130573304
2025/26,25,Haaland,14.0,5.4140004506189685,2.2056499957685767,10.894296639535385,11,1.19,1.01,-6.4426605362365725,-11.11,-0.1100000000000001,0.28136473271253903,14.482199647989187,0.14128370424870962
2025/26,26,Haaland,14.0,5.93203800038683,2.7236875455364378,11.412334189303246,5,1.01,0.97,-5.991358380390698,-4.85,0.15000000000000013,0.31190700404800664,14.439147808460998,0.15593652887670562
2025/26,27,Haaland,14.0,5.519382487800169,2.3110320329497775,10.999678676716586,6,0.97,1.56,-5.353801013166164,-9.36,-3.3600000000000003,0.28061342192251504,13.229997852951541,-0.2555475146814876
2025/26,28,Haaland,14.0,5.973196357842617,2.7648459029922248,11.453492546759033,0,1.56,0.02,-9.318186318234483,-0.0,0.0,0.31702276548879993,13.3962091650653,-0.23554268028469938
2025/26,29,Haaland,14.0,4.545187340898564,1.336836886048172,10.02548352981498,2,0.02,1.21,-0.09090374681797128,-2.42,-0.41999999999999993,0.1877648818208379,11.036630665855917,-0.9027460645295973
2025/26,30,Haaland,14.0,5.491783879020585,2.2834334241701932,10.972080067937002,2,1.21,0.88,-6.645058493614908,-1.76,0.24,0.29896317863495875,12.503684923321027,-0.6052314690807163
2025/26,31,Haaland,14.0,5.384285979501841,2.175935524651449,10.864582168418258,0,0.88,0.02,-4.73817166196162,-0.0,0.0,0.2651844878437498,13.249475242537997,-0.2632578386390838
2025/26,32,Haaland,14.0,4.100575826169023,0.8922253713186312,9.58087201508544,2,0.02,0.9,-0.08201151652338046,-1.8,0.19999999999999996,0.17399920787715525,10.95594155633101,-0.754809132552043
2025/26,33,Haaland,14.0,4.9801839146453615,1.7718334597949696,10.460480103561778,13,0.9,1.94,-4.482165523180825,-25.22,-12.219999999999999,0.2376467533946193,12.523448210655065,-0.4509958329225183
2025/26,34,Haaland,14.0,6.6435494625222935,3.4351990076719017,12.12384565143871,0,1.94,0.0,-12.888485957293248,-0.0,0.0,0.380770288051795,15.229031489073488,0.4431508212220079
2025/26,35,Haaland,14.0,4.692273663092085,1.4839232082416935,10.172569852008502,7,0.0,1.77,-0.0,-12.39,-5.390000000000001,0.2522576078904286,12.713211246577325,-0.39734923903892394
2025/26,36,Haaland,14.0,5.858178235308823,2.649827780458431,11.33847442422524,11,1.77,2.38,-10.368975476496617,-26.18,-15.18,0.32124617679687856,16.539917129107852,0.7188632127802057
2025/26,37,Haaland,14.0,5.912135022137373,2.703784567286981,11.39243121105379,9,2.38,1.12,-14.070881352686946,-10.080000000000002,-1.080000000000001,0.3324356709437165,13.427502700016678,-0.23309506383314815
2025/26,38,Haaland,14.0,6.470197805358413,3.2618473505080208,11.95049399427483,0,1.12,0.14,-7.246621542001423,-0.0,0.0,0.37587845557572386,14.982922990753483,0.3836050380328553
