squad_slot,gameweek,human_points,model_points,weekly_delta,cumulative_human,cumulative_model,cumulative_delta,raw_cumulative_human,raw_cumulative_model,raw_cumulative_delta,comparison_eligible,free_transfers_before,transfers,hit_cost,predicted_lineup_points,predicted_3gw_gain_vs_hold,bank,captain,transfer_detail,human_chip
3,35,63.0,43.0,-20.0,1342.0,1155.0,-187.0,1642.0,1337.0,-305.0,False,1,1,0,51.85,3.001,1.5,B.Fernandes,João Pedro -> Watkins,Bench Boost
3,36,75.0,52.0,-23.0,1417.0,1207.0,-210.0,1717.0,1389.0,-328.0,True,1,1,0,52.231,0.29,1.0,B.Fernandes,N.Williams -> Pedro Porro,
3,37,58.0,69.0,11.0,1475.0,1276.0,-199.0,1775.0,1458.0,-317.0,True,1,2,4,55.574,4.472,0.0,Haaland,Palmer -> Doku; Watkins -> Haaland,
3,38,80.0,48.0,-32.0,1475.0,1276.0,-199.0,1855.0,1506.0,-349.0,False,1,0,0,57.368,0.0,0.0,Haaland,,Wild Card
4,11,56.0,46.0,-10.0,56.0,46.0,-10.0,56.0,46.0,-10.0,True,1,1,0,54.652,1.865,1.0,Haaland,Reijnders -> Gravenberch,
4,12,59.0,56.0,-3.0,115.0,102.0,-13.0,115.0,102.0,-13.0,True,1,1,0,55.595,1.19,0.0,Haaland,Gravenberch -> Szoboszlai,
4,13,53.0,41.0,-12.0,168.0,143.0,-25.0,168.0,143.0,-25.0,True,1,1,0,52.768,1.679,0.0,Haaland,Ndiaye -> Barnes,
4,14,73.0,77.0,4.0,241.0,220.0,-21.0,241.0,220.0,-21.0,True,1,1,0,55.687,1.469,1.0,Haaland,Gabriel -> O'Reilly,
4,15,60.0,67.0,7.0,301.0,287.0,-14.0,301.0,287.0,-14.0,True,1,1,0,55.393,2.043,0.0,Haaland,Semenyo -> Foden,
4,16,81.0,80.0,-1.0,382.0,367.0,-15.0,382.0,367.0,-15.0,True,1,1,0,54.258,3.543,0.0,Haaland,Barnes -> Enzo,
4,17,78.0,69.0,-9.0,382.0,367.0,-15.0,460.0,436.0,-24.0,False,1,1,0,55.312,0.924,0.0,Haaland,Muñoz -> J.Timber,Bench Boost
4,18,43.0,35.0,-8.0,425.0,402.0,-23.0,503.0,471.0,-32.0,True,1,1,0,56.42,0.611,2.0,Haaland,Mateta -> Calvert-Lewin,
4,19,39.0,45.0,6.0,464.0,447.0,-17.0,542.0,516.0,-26.0,True,1,1,0,54.533,4.587,1.0,Haaland,Szoboszlai -> Gordon,
4,20,30.0,44.0,14.0,494.0,491.0,-3.0,572.0,560.0,-12.0,True,1,1,0,52.101,3.588,1.5,Haaland,B.Fernandes -> Wirtz,
4,21,53.0,49.0,-4.0,547.0,540.0,-7.0,625.0,609.0,-16.0,True,1,1,0,52.916,1.053,1.0,Haaland,J.Timber -> Gabriel,
4,22,48.0,44.0,-4.0,595.0,584.0,-11.0,673.0,653.0,-20.0,True,1,1,0,54.002,1.184,1.5,Haaland,Gordon -> Rogers,
4,23,40.0,37.0,-3.0,635.0,621.0,-14.0,713.0,690.0,-23.0,True,1,1,0,52.205,2.271,1.0,Haaland,Saka -> Palmer,
4,24,66.0,70.0,4.0,701.0,691.0,-10.0,779.0,760.0,-19.0,True,1,2,4,52.02,13.322,0.5,Saka,Palmer -> Saka; Foden -> B.Fernandes,
4,25,62.0,73.0,11.0,763.0,764.0,1.0,841.0,833.0,-8.0,True,1,1,0,52.707,4.985,4.0,B.Fernandes,Saka -> Rice,
4,26,82.0,61.0,-21.0,845.0,825.0,-20.0,923.0,894.0,-29.0,True,1,1,0,57.747,5.708,0.0,Haaland,Fraser -> Ekitiké,
4,27,52.0,55.0,3.0,897.0,880.0,-17.0,975.0,949.0,-26.0,True,1,0,0,58.79,0.0,0.0,Haaland,,
4,28,92.0,57.0,-35.0,989.0,937.0,-52.0,1067.0,1006.0,-61.0,True,2,2,0,55.224,0.988,0.0,Haaland,Wirtz -> Semenyo; B.Fernandes -> Palmer,
4,29,52.0,68.0,16.0,1041.0,1005.0,-36.0,1119.0,1074.0,-45.0,True,1,2,4,54.865,4.151,0.0,M.Salah,Haaland -> Thiago; Rice -> M.Salah,
4,30,63.0,51.0,-12.0,1104.0,1056.0,-48.0,1182.0,1125.0,-57.0,True,1,1,0,55.267,2.517,0.5,M.Salah,Lacroix -> F.Kadıoğlu,
4,31,73.0,29.0,-44.0,1177.0,1085.0,-92.0,1255.0,1154.0,-101.0,True,1,1,0,51.384,2.385,1.5,Palmer,Ekitiké -> João Pedro,
4,32,50.0,55.0,5.0,1177.0,1085.0,-92.0,1305.0,1209.0,-96.0,False,1,2,4,50.448,5.871,0.5,B.Fernandes,Semenyo -> Anderson; Enzo -> B.Fernandes,Wild Card
4,33,115.0,65.0,-50.0,1177.0,1085.0,-92.0,1420.0,1274.0,-146.0,False,1,2,4,51.068,5.087,0.0,M.Salah,João Pedro -> Bowen; F.Kadıoğlu -> Mavropanos,Bench Boost
4,34,69.0,60.0,-9.0,1177.0,1085.0,-92.0,1489.0,1334.0,-155.0,False,1,1,0,56.583,3.147,0.5,M.Salah,Rogers -> Cherki,Free Hit
4,35,62.0,45.0,-17.0,1239.0,1130.0,-109.0,1551.0,1379.0,-172.0,True,1,1,0,53.075,0.419,0.5,M.Salah,Senesi -> Guéhi,
4,36,72.0,68.0,-4.0,1239.0,1130.0,-109.0,1623.0,1447.0,-176.0,False,1,1,0,52.802,1.168,0.5,B.Fernandes,Anderson -> Casemiro,3xc
4,37,78.0,50.0,-28.0,1317.0,1180.0,-137.0,1701.0,1497.0,-204.0,True,1,1,0,53.846,3.109,0.5,B.Fernandes,Cherki -> Doku,
4,38,67.0,55.0,-12.0,1384.0,1235.0,-149.0,1768.0,1552.0,-216.0,True,1,0,0,51.644,0.0,0.5,Doku,,
5,11,37.0,32.0,-5.0,37.0,32.0,-5.0,37.0,32.0,-5.0,True,1,1,0,55.472,0.901,0.5,Haaland,Mukiele -> James,
5,12,48.0,43.0,-5.0,85.0,75.0,-10.0,85.0,75.0,-10.0,True,1,1,0,54.673,0.72,1.5,Haaland,Woltemade -> Thiago,
5,13,76.0,53.0,-23.0,161.0,128.0,-33.0,161.0,128.0,-33.0,True,1,1,0,52.585,1.884,0.0,Haaland,Ndiaye -> Mbeumo,
5,14,88.0,68.0,-20.0,249.0,196.0,-53.0,249.0,196.0,-53.0,True,1,1,0,55.233,3.405,1.0,Haaland,Gabriel -> O'Reilly,
5,15,75.0,59.0,-16.0,324.0,255.0,-69.0,324.0,255.0,-69.0,True,1,1,0,53.781,3.23,1.0,Haaland,James -> Calafiori,
5,16,87.0,68.0,-19.0,324.0,255.0,-69.0,411.0,323.0,-88.0,False,1,1,0,54.237,1.832,0.5,Haaland,Muñoz -> Virgil,Free Hit
5,17,88.0,79.0,-9.0,324.0,255.0,-69.0,499.0,402.0,-97.0,False,1,1,0,53.965,2.535,0.5,Haaland,Calafiori -> J.Timber,3xc
5,18,29.0,32.0,3.0,353.0,287.0,-66.0,528.0,434.0,-94.0,True,1,1,0,55.306,1.801,0.5,Haaland,Mbeumo -> Cunha,
5,19,38.0,45.0,7.0,391.0,332.0,-59.0,566.0,479.0,-87.0,True,1,1,0,54.917,3.15,2.0,Haaland,B.Fernandes -> Gordon,
5,20,62.0,63.0,1.0,453.0,395.0,-58.0,628.0,542.0,-86.0,True,1,1,0,51.686,4.929,1.0,Haaland,Mateta -> Ekitiké,
5,21,56.0,60.0,4.0,509.0,455.0,-54.0,684.0,602.0,-82.0,True,1,1,0,51.004,2.689,0.0,Haaland,Gordon -> Wirtz,
5,22,52.0,40.0,-12.0,561.0,495.0,-66.0,736.0,642.0,-94.0,True,1,1,0,51.786,4.397,0.0,Haaland,Sarr -> Bruno G.,
5,23,46.0,44.0,-2.0,607.0,539.0,-68.0,782.0,686.0,-96.0,True,1,1,0,54.143,4.943,0.5,Haaland,O'Reilly -> Dorgu,
5,24,58.0,69.0,11.0,665.0,608.0,-57.0,840.0,755.0,-85.0,True,1,1,0,52.516,3.61,0.0,Watkins,Ekitiké -> Watkins,
5,25,67.0,55.0,-12.0,732.0,663.0,-69.0,907.0,810.0,-97.0,True,1,1,0,50.475,2.513,0.0,Haaland,Bruno G. -> Enzo,
5,26,79.0,76.0,-3.0,732.0,663.0,-69.0,986.0,886.0,-100.0,False,1,1,0,54.746,2.434,0.0,Haaland,Dorgu -> Cash,3xc
5,27,52.0,48.0,-4.0,784.0,711.0,-73.0,1038.0,934.0,-104.0,True,1,1,0,56.878,3.767,0.5,Haaland,Watkins -> Ekitiké,
5,28,76.0,79.0,3.0,860.0,790.0,-70.0,1114.0,1013.0,-101.0,True,1,1,0,55.172,3.023,0.0,Haaland,Cash -> O'Reilly,
5,29,67.0,78.0,11.0,927.0,868.0,-59.0,1181.0,1091.0,-90.0,True,1,2,4,53.528,8.43,4.5,Palmer,Haaland -> João Pedro; Wirtz -> Palmer,
5,30,67.0,53.0,-14.0,994.0,921.0,-73.0,1248.0,1144.0,-104.0,True,1,1,0,57.082,6.489,2.0,B.Fernandes,Rice -> B.Fernandes,
5,31,62.0,42.0,-20.0,1056.0,963.0,-93.0,1310.0,1186.0,-124.0,True,1,1,0,52.682,1.04,1.5,Palmer,J.Timber -> Gabriel,
5,32,93.0,60.0,-33.0,1056.0,963.0,-93.0,1403.0,1246.0,-157.0,False,1,1,0,53.192,4.58,1.0,B.Fernandes,Semenyo -> Gibbs-White,Wild Card
5,33,93.0,80.0,-13.0,1056.0,963.0,-93.0,1496.0,1326.0,-170.0,False,1,2,4,50.338,5.945,0.5,B.Fernandes,Enzo -> Szoboszlai; João Pedro -> Bowen,Bench Boost
5,34,52.0,58.0,6.0,1056.0,963.0,-93.0,1548.0,1384.0,-164.0,False,1,1,0,56.102,3.083,0.5,B.Fernandes,Szoboszlai -> Cherki,Free Hit
5,35,64.0,42.0,-22.0,1120.0,1005.0,-115.0,1612.0,1426.0,-186.0,True,1,1,0,52.624,4.639,0.0,B.Fernandes,Ekitiké -> Watkins,
5,36,85.0,55.0,-30.0,1205.0,1060.0,-145.0,1697.0,1481.0,-216.0,True,1,1,0,53.107,0.163,0.0,B.Fernandes,Virgil -> Saliba,
5,37,63.0,72.0,9.0,1268.0,1132.0,-136.0,1760.0,1553.0,-207.0,True,1,1,0,54.138,3.735,0.0,B.Fernandes,Cherki -> Doku,
5,38,62.0,69.0,7.0,1330.0,1201.0,-129.0,1822.0,1622.0,-200.0,True,1,0,0,51.899,0.0,0.0,Doku,,
6,11,58.0,45.0,-13.0,58.0,45.0,-13.0,58.0,45.0,-13.0,True,1,1,0,53.899,3.342,1.0,Haaland,Reijnders -> Rice,
6,12,56.0,33.0,-23.0,58.0,45.0,-13.0,114.0,78.0,-36.0,False,1,1,0,56.508,1.135,0.0,Haaland,Mitchell -> Gabriel,Wild Card
6,13,47.0,46.0,-1.0,105.0,91.0,-14.0,161.0,124.0,-37.0,True,1,1,0,51.662,1.386,0.0,Haaland,Kudus -> Barnes,
6,14,80.0,47.0,-33.0,185.0,138.0,-47.0,241.0,171.0,-70.0,True,1,1,0,55.013,2.738,1.0,Haaland,Gabriel -> O'Reilly,
6,15,53.0,53.0,0.0,238.0,191.0,-47.0,294.0,224.0,-70.0,True,1,1,0,53.824,4.841,0.0,Haaland,Mamardashvili -> Raya,
6,16,85.0,70.0,-15.0,323.0,261.0,-62.0,379.0,294.0,-85.0,True,1,1,0,53.727,2.77,0.0,Haaland,Barnes -> Szoboszlai,
6,17,80.0,83.0,3.0,403.0,344.0,-59.0,459.0,377.0,-82.0,True,1,1,0,53.045,1.08,1.0,Haaland,Gakpo -> Amad,
6,18,65.0,45.0,-20.0,468.0,389.0,-79.0,524.0,422.0,-102.0,True,1,1,0,56.219,1.995,0.0,Haaland,João Pedro -> Ekitiké,
6,19,60.0,53.0,-7.0,528.0,442.0,-86.0,584.0,475.0,-109.0,True,1,2,4,55.38,4.114,1.0,Haaland,B.Fernandes -> Gordon; Szoboszlai -> Schade,
6,20,66.0,33.0,-33.0,594.0,475.0,-119.0,650.0,508.0,-142.0,True,1,1,0,52.543,2.736,0.5,Haaland,Rice -> Trossard,
6,21,68.0,45.0,-23.0,662.0,520.0,-142.0,718.0,553.0,-165.0,True,1,1,0,50.919,1.282,0.0,Haaland,Amad -> Rogers,
6,22,33.0,34.0,1.0,695.0,554.0,-141.0,751.0,587.0,-164.0,True,1,1,0,51.374,1.182,0.5,Haaland,Trossard -> Bruno G.,
6,23,46.0,38.0,-8.0,741.0,592.0,-149.0,797.0,625.0,-172.0,True,1,2,4,53.551,4.188,0.0,Haaland,O'Reilly -> Dorgu; Gordon -> Wirtz,
6,24,64.0,79.0,15.0,805.0,671.0,-134.0,861.0,704.0,-157.0,True,1,1,0,51.297,4.997,0.0,Wirtz,Bruno G. -> Rice,
6,25,67.0,63.0,-4.0,872.0,734.0,-138.0,928.0,767.0,-161.0,True,1,1,0,51.276,3.55,0.5,Haaland,Schade -> Enzo,
6,26,76.0,45.0,-31.0,872.0,734.0,-138.0,1004.0,812.0,-192.0,False,1,1,0,55.842,2.21,0.5,Haaland,Rice -> Szoboszlai,Bench Boost
